month,close,change
2004-01-01,37.083,0.61
2004-01-02,35.973,-2.99
2004-01-03,37.578,4.46
2004-01-04,36.212,-3.64
2004-01-05,36.984,2.13
2004-01-06,37.58,1.61
2004-01-07,37.017,-1.5
2004-01-08,38.109,2.95
2004-01-09,37.601,-1.33
2004-01-10,38.777,3.13
2004-01-11,38.266,-1.32
2004-01-12,37.917,-0.91
2005-01-01,37.179,-1.95
2005-01-02,36.549,-1.69
2005-01-03,36.497,-0.14
2005-01-04,37.66,3.19
2005-01-05,37.421,-0.63
2005-01-06,37.255,-0.44
2005-01-07,36.998,-0.69
2005-01-08,37.285,0.78
2005-01-09,36.138,-3.08
2005-01-10,35.017,-3.1
2005-01-11,34.39,-1.79
2005-01-12,34.764,1.09
2006-01-01,33.183,-4.55
2006-01-02,33.736,1.67
2006-01-03,33.026,-2.1
2006-01-04,32.95,-0.23
2006-01-05,33.84,2.7
2006-01-06,33.29,-1.63
2006-01-07,32.999,-0.87
2006-01-08,32.007,-3.01
2006-01-09,31.771,-0.74
2006-01-10,31.354,-1.31
2006-01-11,30.982,-1.19
2006-01-12,30.328,-2.11
2007-01-01,29.663,-2.19
2007-01-02,29.965,1.02
2007-01-03,29.686,-0.93
2007-01-04,29.084,-2.03
2007-01-05,28.424,-2.27
2007-01-06,28.011,-1.45
2007-01-07,28.518,1.81
2007-01-08,29.625,3.88
2007-01-09,29.839,0.72
2007-01-10,29.438,-1.34
2007-01-11,30.423,3.35
2007-01-12,30.224,-0.65
2008-01-01,31.027,2.66
2008-01-02,30.278,-2.41
2008-01-03,31.53,4.14
2008-01-04,30.441,-3.45
2008-01-05,30.775,1.1
2008-01-06,31.455,2.21
2008-01-07,31.047,-1.3
2008-01-08,31.413,1.18
2008-01-09,31.86,1.42
2008-01-10,35.567,11.64
2008-01-11,37.098,4.3
2008-01-12,38.303,3.25
2009-01-01,38.842,1.41
2009-01-02,37.036,-4.65
2009-01-03,35.876,-3.13
2009-01-04,35.761,-0.32
2009-01-05,35.962,0.56
2009-01-06,35.315,-1.8
2009-01-07,35.903,1.67
2009-01-08,36.538,1.77
2009-01-09,37.197,1.8
2009-01-10,37.106,-0.24
2009-01-11,38.458,3.64
2009-01-12,35.861,-6.75
2010-01-01,36.696,2.33
2010-01-02,37.154,1.25
2010-01-03,34.588,-6.91
2010-01-04,34.445,-0.41
2010-01-05,35.627,3.43
2010-01-06,36.631,2.82
2010-01-07,37.241,1.67
2010-01-08,37.13,-0.3
2010-01-09,36.32,-2.18
2010-01-10,37.164,2.32
2010-01-11,36.017,-3.09
2010-01-12,36.944,2.57
2011-01-01,37.617,1.82
2011-01-02,37.376,-0.64
2011-01-03,36.346,-2.76
2011-01-04,36.738,1.08
2011-01-05,37.146,1.11
2011-01-06,38.118,2.62
2011-01-07,38.747,1.65
2011-01-08,39.053,0.79
2011-01-09,40.433,3.53
2011-01-10,39.233,-2.97
2011-01-11,39.783,1.4
2011-01-12,40.951,2.94
2012-01-01,40.6,-0.86
2012-01-02,37.502,-7.63
2012-01-03,37.216,-0.76
2012-01-04,38.487,3.42
2012-01-05,40.623,5.55
2012-01-06,39.504,-2.75
2012-01-07,40.323,2.07
2012-01-08,39.949,-0.93
2012-01-09,39.53,-1.05
2012-01-10,38.449,-2.73
2012-01-11,37.218,-3.2
2012-01-12,35.25,-5.29
2013-01-01,32.558,-7.64
2013-01-02,32.138,-1.29
2013-01-03,31.066,-3.34
2013-01-04,30.029,-3.34
2013-01-05,30.256,0.76
2013-01-06,31.387,3.74
2013-01-07,32.016,2.0
2013-01-08,32.726,2.22
2013-01-09,31.766,-2.93
2013-01-10,31.659,-0.34
2013-01-11,31.255,-1.28
2013-01-12,31.026,-0.73
2014-01-01,32.35,4.27
2014-01-02,31.942,-1.26
2014-01-03,31.373,-1.78
2014-01-04,31.619,0.78
2014-01-05,32.233,1.94
2014-01-06,31.978,-0.79
2014-01-07,31.304,-2.11
2014-01-08,30.663,-2.05
2014-01-09,29.561,-3.59
2014-01-10,28.999,-1.9
2014-01-11,27.682,-4.54
2014-01-12,27.483,-0.72
2015-01-01,27.854,1.35
2015-01-02,27.055,-2.87
2015-01-03,27.074,0.07
2015-01-04,27.649,2.12
2015-01-05,27.13,-1.88
2015-01-06,27.581,1.66
2015-01-07,28.227,2.34
2015-01-08,29.545,4.67
2015-01-09,30.328,2.65
2015-01-10,29.501,-2.73
2015-01-11,29.069,-1.46
2015-01-12,29.932,2.97
2016-01-01,29.493,-1.47
2016-01-02,31.592,7.12
2016-01-03,31.175,-1.32
2016-01-04,32.798,5.21
2016-01-05,32.292,-1.54
2016-01-06,33.979,5.22
2016-01-07,34.048,0.2
2016-01-08,33.472,-1.69
2016-01-09,34.116,1.92
2016-01-10,33.406,-2.08
2016-01-11,31.173,-6.68
2016-01-12,30.653,-1.67
2017-01-01,31.103,1.47
2017-01-02,30.964,-0.45
2017-01-03,30.823,-0.46
2017-01-04,30.997,0.56
2017-01-05,30.716,-0.91
2017-01-06,30.175,-1.76
2017-01-07,30.19,0.05
2017-01-08,30.157,-0.11
2017-01-09,29.615,-1.8
2017-01-10,29.23,-1.3
2017-01-11,29.0,-0.79
2017-01-12,28.882,-0.41
2018-01-01,28.694,-0.65
2018-01-02,29.509,2.84
2018-01-03,29.325,-0.62
2018-01-04,28.846,-1.63
2018-01-05,29.45,2.09
2018-01-06,29.828,1.28
2018-01-07,29.663,-0.55
2018-01-08,29.501,-0.55
2018-01-09,28.423,-3.65
2018-01-10,29.311,3.12
2018-01-11,29.042,-0.92
2018-01-12,29.501,1.58
2019-01-01,28.65,-2.88
2019-01-02,28.339,-1.09
2019-01-03,28.61,0.96
2019-01-04,28.616,0.02
2019-01-05,29.107,1.72
2019-01-06,28.431,-2.32
2019-01-07,28.225,-0.72
2019-01-08,28.781,1.97
2019-01-09,28.3,-1.67
2019-01-10,27.932,-1.3
2019-01-11,27.566,-1.31
2019-01-12,27.393,-0.63
2020-01-01,28.78,5.06
2020-01-02,29.149,1.28
2020-01-03,30.439,4.43
2020-01-04,30.271,-0.55
2020-01-05,29.5,-2.55
2020-01-06,28.624,-2.97
2020-01-07,29.515,3.11
2020-01-08,29.333,-0.62
2020-01-09,29.96,2.14
2020-01-10,29.751,-0.7
2020-01-11,29.032,-2.42
2020-01-12,29.089,0.2
2021-01-01,28.517,-1.97
2021-01-02,28.581,0.22
2021-01-03,28.213,-1.29
2021-01-04,28.49,0.98
2021-01-05,28.466,-0.08
2021-01-06,28.816,1.23
2021-01-07,29.974,4.02
2021-01-08,29.278,-2.32
2021-01-09,30.252,3.33
2021-01-10,29.194,-3.5
2021-01-11,29.784,2.02
2021-01-12,28.868,-3.08
2022-01-01,28.854,-0.05
2022-01-02,28.404,-1.56
2022-01-03,27.341,-3.74
2022-01-04,26.367,-3.56
2022-01-05,26.649,1.07
2022-01-06,26.002,-2.43
2022-01-07,27.241,4.77
2022-01-08,26.279,-3.53
2022-01-09,26.088,-0.73
2022-01-10,25.582,-1.94
2022-01-11,25.431,-0.59
2022-01-12,26.392,3.78
2023-01-01,25.238,-4.37
2023-01-02,25.851,2.43
2023-01-03,25.719,-0.51
2023-01-04,25.024,-2.7
2023-01-05,24.858,-0.66
2023-01-06,24.434,-1.71
2023-01-07,24.039,-1.62
2023-01-08,24.031,-0.03
2023-01-09,24.438,1.69
2023-01-10,23.823,-2.52
2023-01-11,23.824,0.0
2023-01-12,24.35,2.21
2024-01-01,24.185,-0.68
2024-01-02,23.922,-1.09
2024-01-03,24.022,0.42
2024-01-04,23.535,-2.03
2024-01-05,23.373,-0.69
2024-01-06,22.849,-2.24
2024-01-07,23.688,3.67
2024-01-08,23.201,-2.06
2024-01-09,22.548,-2.81
2024-01-10,22.224,-1.44
2024-01-11,22.88,2.95
2024-01-12,21.793,-4.75
